X,Y
1.127691936,2.80771306
1.088452819,2.797991776
1.057875825,2.790192141
1.027543918,2.782205808
0.996780499,2.7737891
0.964903599,2.764658584
0.931179538,2.754457896
0.894780821,2.74271299
0.854750544,2.728768715
0.809988096,2.711696794
0.759285461,2.690172758
0.701479638,2.662328971
0.635792875,2.625641505
0.562416922,2.576964127
0.486041978,2.515429509
0.42003994,2.450454213
0.366925208,2.387174765
0.322756808,2.323895318
0.286200081,2.26061587
0.256326888,2.197336423
0.232465575,2.134056975
0.214120032,2.070777527
0.200922737,2.00749808
0.192605009,1.944218632
0.188977195,1.880939184
0.189914994,1.817659737
0.205267394,1.691100841
0.219702689,1.627821394
0.238746047,1.564541946
0.262538936,1.501262499
0.291274901,1.437983051
0.325210478,1.374703603
0.364688498,1.311424156
0.410166866,1.248144708
0.462254702,1.18486526
0.522773888,1.120586258
0.58666443,1.061005463
0.645321548,1.012273464
0.697969644,0.972530738
0.745425877,0.939446016
0.788649202,0.911259866
0.82858081,0.886663213
0.866083406,0.864676306
0.901939196,0.844553118
0.936868412,0.825706103
0.971561214,0.807650155
1.006717867,0.789961326
1.04309594,0.772242323
1.081598817,0.754076796
1.128860021,0.732538234
1.187959965,0.706681721
1.251239412,0.680201798
1.31451886,0.654876658
1.377798308,0.630631484
1.441077755,0.607403134
1.504357203,0.585136733
1.567636651,0.563786808
1.630916098,0.543317737
1.694195546,0.523702983
1.757474993,0.504922913
1.820754441,0.486965635
1.884033889,0.469828925
1.947313336,0.453518255
2.010592784,0.438044471
2.073872232,0.423421296
2.137151679,0.409665484
2.200431127,0.396801234
2.263710575,0.384862157
2.326990022,0.373889241
2.39026947,0.363926931
2.453548917,0.355021617
2.516828365,0.347224789
2.580107813,0.340593355
2.64338726,0.335188318
2.706666708,0.331076437
2.769946156,0.32832765
2.833225603,0.327010235
2.896505051,0.327194701
2.959784499,0.328959273
3.023063946,0.332389918
3.086343394,0.337580513
3.149622841,0.344635166
3.212902289,0.353668121
3.276181737,0.364803064
3.339461184,0.37817638
3.402740632,0.3939442
3.46602008,0.412286285
3.529299527,0.433405692
3.592578975,0.457531603
3.655858423,0.484924426
3.71913787,0.515880352
3.782417318,0.550745704
3.845696765,0.589936761
3.907571687,0.632917236
3.961580907,0.67465664
4.005433324,0.711795853
4.043455707,0.746599848
4.07707477,0.779584548
4.107333279,0.811210786
4.13505299,0.841937694
4.160893041,0.872220931
4.185395031,0.902521666
4.209017137,0.933322612
4.232162111,0.965148509
4.255196599,0.998595295
4.27846668,1.034366498
4.302310345,1.073321462
4.329056714,1.120171636
4.359659032,1.178541069
4.389749211,1.241801357
4.416950818,1.305080805
4.441530552,1.368360252
4.463747241,1.4316397
4.483839086,1.494919148
4.502024897,1.558198595
4.518508513,1.621478043
4.533480882,1.684757491
4.547128306,1.748036938
4.55963129,1.811316386
4.571158867,1.874595833
4.58187316,1.937875281
4.591927815,2.001154729
4.601459706,2.064434176
4.610589704,2.127713624
4.61942509,2.190993072
4.62805768,2.254272519
4.636560329,2.317551967
4.644986752,2.380831415
4.653372193,2.444110862
4.661749062,2.50739031
4.670142982,2.570669757
4.678568887,2.633949205
4.687030663,2.697228653
4.695520319,2.7605081
4.704015275,2.823787548
4.712485149,2.887066996
4.720891833,2.950346443
4.729168027,3.013625891
4.737216182,3.076905339
4.744905776,3.140184786
4.752073721,3.203464234
4.758531908,3.266743681
4.764073243,3.330023129
4.768469388,3.393302577
4.771476025,3.456582024
4.772831781,3.519861472
4.772257346,3.58314092
4.769450058,3.646420367
4.764082101,3.709699815
4.755789664,3.772979263
4.744170642,3.83625871
4.727876758,3.902743571
4.702619976,3.980620917
4.667297759,4.063300959
4.625061699,4.14000144
4.576756133,4.209717792
4.523089993,4.272110948
4.464858539,4.326904601
4.402917071,4.373918191
4.338156629,4.413097676
4.271459486,4.444523707
4.203654735,4.468399146
4.135489262,4.485035142
4.067603302,4.494829204
4.000511862,4.498232405
3.934868572,4.49574098
3.87092744,4.487890341
3.807636779,4.474883825
3.744357332,4.456646118
3.681240718,4.433163984
3.621598448,4.406007413
3.569504533,4.378234947
3.522960437,4.350176005
3.480192562,4.321688102
3.440345546,4.292838411
3.402628608,4.263533003
3.366303873,4.233547947
3.330660325,4.202544288
3.294977971,4.170062277
3.258480632,4.135494577
3.220266922,4.098034803
3.179210359,4.056583454
3.133796434,4.009585992
3.08183192,3.954738126
3.0232124,3.892017524
2.963984746,3.828252739
2.905187762,3.764973341
2.846073242,3.701697981
2.794381743,3.646892571
2.761074713,3.611950666
2.739004835,3.588991822
2.719623804,3.568974768
2.702059312,3.550968827
2.685681119,3.53431097
2.669999281,3.518496437
2.654600539,3.503111729
2.639103329,3.487789368
2.623120346,3.472173349
2.606221171,3.455888091
2.587887414,3.438506088
2.567451812,3.419508736
2.543880912,3.398122708
2.505971136,3.36501811
2.448868365,3.31813785
2.385588925,3.27013316
2.322309485,3.226066308
2.259030044,3.185689864
2.195750603,3.148740384
2.132471161,3.114950573
2.069191719,3.084055056
2.005912276,3.055794765
1.942632833,3.029917534
1.879353389,3.006174249
1.816073945,2.984322711
1.752794501,2.964130453
1.689515056,2.945369135
1.626235612,2.927815549
1.562956167,2.911249643
1.499676722,2.895453691
1.436397277,2.880218431
1.373117832,2.865344798
1.309838387,2.85064609
1.246558942,2.83595093
1.183279375,2.821082734
